Word	Frequency
John	837
(Australian	821
(footballer)	673
David	647
Peter	624
(rugby	588
Michael	538
footballer)	441
league)	440
Paul	414
Mark	371
Andrew	356
(politician)	324
James	313
Chris	305
Ian	261
Robert	253
Scott	252
politician)	242
Ben	231
Tony	217
Matthew	213
Smith	204
Richard	203
Steve	194
Stephen	186
Daniel	179
Tim	178
Craig	172
Luke	166
Tom	164
Brian	161
Adam	159
Jason	159
Greg	157
Matt	157
rules	157
Martin	155
Anthony	152
Simon	151
(cricketer)	150
born	149
Ryan	148
Bob	141
Bill	138
Graham	137
Kevin	137
Bruce	136
Alan	134
Nick	133
Jack	132
George	129
Nathan	129
Brett	128
Shane	128
Jim	127
Williams	123
(musician)	122
Sam	122
Barry	121
Gary	120
Brown	118
Ken	118
(actor)	114
Jones	114
Ross	113
Cameron	111
Lee	111
Brad	110
Geoff	106
union)	105
Darren	104
Dean	103
Terry	103
Steven	101
Alex	99
Ray	99
Frank	97
Ron	95
Wayne	93
Grant	92
Stuart	91
(athlete)	89
Mike	89
Josh	88
Taylor	88
Wilson	88
Graeme	87
Russell	87
Thomas	87
Phil	86
Murray	83
Keith	82
Kate	81
(basketball)	80
Allan	80
Mitchell	80
Neil	79
Young	77
Justin	76
Campbell	75
Colin	74
(footballer	72
Glenn	72
Joe	72
Rod	72
Sarah	72
Anderson	71
Kelly	71
Don	70
J.	70
Jeff	70
Stewart	70
Adrian	67
(judge)	66
Aaron	66
Gordon	66
Johnson	66
Max	66
Patrick	66
hockey)	64
Danny	63
Sean	63
Jamie	62
Lewis	62
Rob	62
(author)	61
Roger	61
Trevor	61
Evans	60
Lisa	59
Margaret	59
Nicholas	59
Walker	59
Jackson	58
Brendan	57
Hill	57
Thompson	57
Warren	57
Dennis	55
Eric	55
Christopher	54
Clarke	54
White	54
(journalist)	53
Green	53
Henry	53
Jeremy	53
Joel	53
Moore	53
Andy	52
Jane	52
Malcolm	52
(swimmer)	51
Doug	51
Robinson	51
Trent	51
William	51
Dave	50
Harris	50
Mick	50
Miller	50
Roberts	50
Anne	49
Davies	49
Edwards	49
Geoffrey	49
Harry	49
Todd	49
Davis	48
Kim	48
Watson	48
Gavin	47
Helen	47
Jonathan	47
Morris	47
de	47
(artist)	46
Fred	46
Troy	46
driver)	46
Duncan	45
Morgan	45
Shaun	45
(racing	44
Harvey	44
Les	44
Murphy	44
Philip	44
Damien	43
Hall	43
Leigh	43
Lindsay	43
Melissa	43
Michelle	43
Noel	43
Pat	43
Rebecca	43
van	43
Bennett	42
Clark	42
Hughes	42
Kerry	42
King	42
Ted	42
player)	42
(cyclist)	41
(writer)	41
Ashley	41
Bell	41
Dan	41
O'Brien	41
(tennis)	40
Charles	40
Elizabeth	40
Julian	40
Karen	40
Kennedy	40
Walsh	40
Wright	40
(field	39
Alexander	39
Anna	39
Brent	39
Cooper	39
Emma	39
Garry	39
Laurie	39
Lawrence	39
Will	39
Amanda	38
Charlie	38
Cox	38
Francis	38
Jon	38
Phillips	38
Robbie	38
A.	37
Billy	37
Hugh	37
Jenny	37
Jessica	37
Natalie	37
Rose	37
Turner	37
Wood	37
(rower)	36
(singer)	36
Fraser	36
Howard	36
Johnston	36
Donald	35
Jordan	35
Julie	35
Liam	35
Mary	35
McDonald	35
Phillip	35
Simpson	35
Arthur	34
Dale	34
Marshall	34
Neville	34
Richardson	34
Robin	34
(academic)	33
Adams	33
Bradley	33
Christian	33
Damian	33
Jennifer	33
Mitch	33
Reid	33
Rick	33
Robertson	33
Susan	33
Wendy	33
actor)	33
Ellis	32
Guy	32
Harrison	32
Lloyd	32
Marcus	32
(bishop)	31
(businessman)	31
(poet)	31
Allen	31
Baker	31
Christine	31
Cook	31
Stephanie	31
Travis	31
(rugby)	30
Bryan	30
Collins	30
De	30
Gerard	30
M.	30
Nicole	30
Sally	30
Shannon	30
Stone	30
Sullivan	30
footballer	30
Blake	29
Carter	29
Daryl	29
Denis	29
Eddie	29
Jan	29
Rachel	29
Robyn	29
Rodney	29
Rogers	29
(golfer)	28
Carroll	28
Derek	28
Fiona	28
Gibson	28
Joseph	28
Jr.	28
Louise	28
Thomson	28
Wade	28
(actress)	27
(comedian)	27
Burns	27
Deborah	27
Henderson	27
Jake	27
Marc	27
McKenzie	27
R.	27
Shaw	27
Stevens	27
Sue	27
presenter)	27
Alison	26
Andrews	26
Angus	26
Black	26
Burke	26
Caroline	26
Catherine	26
Dick	26
Douglas	26
Emily	26
Glen	26
Gregory	26
Kane	26
Oliver	26
Richards	26
Samantha	26
league	26
