Word	Australian frequency	Japanese frequency	Difference
Hiroshi	1	191	-190
Suzuki	0	162	-162
(fencer)	13	172	-159
Takashi	0	154	-154
Kobayashi	0	138	-138
Tanaka	1	136	-135
Takahashi	1	133	-132
Akira	1	130	-129
Yuki	0	126	-126
Nakamura	1	124	-123
Sato	0	121	-121
Kenji	0	120	-120
Watanabe	0	109	-109
(baseball)	17	124	-107
Daisuke	0	103	-103
Yamamoto	0	103	-103
Hiroyuki	1	102	-101
Makoto	0	100	-100
Takeshi	0	99	-99
Ito	0	92	-92
Jun	0	87	-87
Yoshida	0	84	-84
Satoshi	0	84	-84
Koji	0	81	-81
(judoka)	4	84	-80
Saito	0	72	-72
Yuji	0	72	-72
Yamada	0	71	-71
Hiroki	0	70	-70
Inoue	0	69	-69
Atsushi	0	68	-68
Naoki	1	69	-68
Kimura	0	68	-68
Kato	1	69	-68
Kim	48	114	-66
Masahiro	0	65	-65
Matsumoto	0	65	-65
Tatsuya	0	64	-64
Takuya	0	63	-63
Takayuki	0	63	-63
Sasaki	0	63	-63
Yamaguchi	1	62	-61
Mori	2	62	-60
Abe	2	62	-60
Takahiro	0	58	-58
José	3	59	-56
Yusuke	0	55	-55
Ryo	0	55	-55
Tetsuya	1	56	-55
Shimizu	0	55	-55
Shinji	0	55	-55
Koichi	0	55	-55
Tsuyoshi	0	54	-54
Akiko	0	54	-54
Hideki	0	54	-54
Kenichi	0	53	-53
Keiko	0	53	-53
Yutaka	0	53	-53
Masaki	0	53	-53
Silva	10	62	-52
Ono	0	52	-52
Masato	0	52	-52
Ishii	0	51	-51
Miki	1	52	-51
Kazuo	0	51	-51
Fujita	0	50	-50
Maeda	0	50	-50
Hayashi	0	49	-49
Kaori	0	49	-49
Yoko	0	48	-48
Yasuhiro	0	48	-48
Kohei	0	46	-46
Aoki	0	46	-46
Ai	1	47	-46
Masashi	0	45	-45
Hiromi	0	45	-45
Shigeru	0	44	-44
Sakai	0	44	-44
Carlos	6	49	-43
Ishikawa	0	43	-43
Shinya	0	43	-43
Keisuke	0	43	-43
Okamoto	0	43	-43
Megumi	0	42	-42
Hashimoto	0	42	-42
Santos	5	47	-42
Kazuki	0	42	-42
Ikeda	0	41	-41
Masaaki	0	41	-41
Minoru	0	41	-41
Noriko	0	41	-41
Satō	0	41	-41
Toshio	1	42	-41
Maki	0	40	-40
Seiji	0	40	-40
Toru	0	40	-40
Hiroko	0	40	-40
Yamazaki	0	40	-40
Hideo	0	39	-39
Yuko	0	39	-39
Tomoko	0	39	-39
Yoshihiro	0	39	-39
Sakamoto	0	38	-38
Junko	0	38	-38
Yamashita	0	38	-38
Ueda	0	38	-38
Kei	0	38	-38
Osamu	0	38	-38
Nakajima	0	38	-38
Nakano	0	38	-38
Masayuki	0	37	-37
Kenta	0	37	-37
Hasegawa	0	37	-37
Okada	0	37	-37
Hitomi	0	37	-37
Uchida	0	37	-37
Izumi	0	36	-36
Miura	1	37	-36
Kiyoshi	0	36	-36
Shingo	0	36	-36
Tadashi	0	36	-36
Aya	0	36	-36
Kaoru	0	35	-35
Yu	2	37	-35
Kazuhiro	0	35	-35
Fujii	0	35	-35
Akihiro	1	36	-35
Kikuchi	0	35	-35
Tsutomu	0	35	-35
da	6	41	-35
de	47	82	-35
Yoshio	0	35	-35
Harada	0	35	-35
Kazuya	0	34	-34
Fukuda	0	34	-34
Mayumi	0	34	-34
Miho	0	34	-34
Takao	0	34	-34
Takagi	0	34	-34
Arai	0	33	-33
Sakurai	0	33	-33
Hara	0	33	-33
Ogawa	0	33	-33
Nishimura	0	33	-33
Takumi	0	33	-33
Masahiko	0	33	-33
Mai	0	33	-33
Hideaki	0	32	-32
Yuka	0	32	-32
Satoru	0	32	-32
Murakami	0	32	-32
Kojima	0	32	-32
Kaneko	0	32	-32
Hoshino	0	32	-32
Yuya	0	32	-32
Hajime	0	32	-32
Ayumi	0	31	-31
Itō	0	31	-31
Matsui	0	31	-31
Kentaro	0	31	-31
Yōsuke	0	31	-31
Nakayama	0	31	-31
Emi	0	31	-31
Aki	0	30	-30
Kōji	0	30	-30
Masami	0	30	-30
Ishida	1	31	-30
Mari	1	31	-30
Miyuki	0	30	-30
Ryuji	0	30	-30
Takeda	0	30	-30
Tamura	0	30	-30
Yukio	0	30	-30
Chiba	0	30	-30
Hitoshi	0	29	-29
Shinichi	0	29	-29
Morita	0	29	-29
Minami	0	29	-29
Matsuda	0	29	-29
Masao	0	29	-29
Junichi	0	29	-29
Hiroaki	1	30	-29
Susumu	0	29	-29
Honda	1	30	-29
Yumi	1	30	-29
Eiji	0	29	-29
Toshiyuki	0	29	-29
Wada	0	29	-29
Kondo	0	28	-28
Kyoko	0	28	-28
Michiko	0	28	-28
Murata	0	28	-28
Ryota	0	28	-28
Takeuchi	0	28	-28
Yokoyama	0	28	-28
Yoshiaki	0	28	-28
Mitsuru	0	28	-28
Kawai	0	27	-27
Yoshinori	0	27	-27
(voice	2	29	-27
Rie	0	27	-27
Masuda	0	27	-27
Masaru	0	27	-27
(singer)	36	63	-27
(wrestler)	7	34	-27
Goto	0	27	-27
Atsuko	0	27	-27
Miyazaki	0	26	-26
Naoko	0	26	-26
Ota	0	26	-26
Takada	1	27	-26
Kosuke	0	26	-26
Saori	0	26	-26
Yoshiyuki	0	26	-26
Yōko	0	26	-26
Keiji	0	26	-26
Ando	0	26	-26
Hikaru	0	26	-26
Manabu	0	25	-25
Keiichi	0	25	-25
Yuichi	0	25	-25
Takako	0	25	-25
Shimada	0	25	-25
Nakanishi	0	25	-25
Masatoshi	0	25	-25
Mika	3	28	-25
Asami	0	25	-25
Eri	0	25	-25
Fujiwara	0	25	-25
Go	0	25	-25
Hisashi	0	25	-25
Imai	0	25	-25
Sho	0	24	-24
Yumiko	0	24	-24
Antonio	2	26	-24
Park	4	28	-24
Yukari	0	24	-24
Yui	0	24	-24
Sugiyama	0	24	-24
Akiyama	0	24	-24
Ayako	0	24	-24
Chiaki	0	24	-24
Haruka	0	24	-24
Kumiko	0	24	-24
Mariko	0	24	-24
Masaya	0	24	-24
Ryosuke	0	24	-24
Sayaka	0	23	-23
Shinobu	0	23	-23
Tomohiro	0	23	-23
Yasuda	0	23	-23
Luis	2	25	-23
dos	3	26	-23
(born	0	23	-23
Doi	0	23	-23
Hideyuki	0	23	-23
Kawamura	0	23	-23
Kazuhiko	0	23	-23
Masanori	0	23	-23
Masayoshi	0	23	-23
Nakagawa	0	23	-23
Nomura	0	23	-23
Norio	0	23	-23
Oshima	0	23	-23
Yoshikazu	0	23	-23
Shin	3	25	-22
Yūki	0	22	-22
Shoji	0	22	-22
Yukiko	0	22	-22
Endo	0	22	-22
Fujimoto	0	22	-22
Hirano	0	22	-22
Kazumi	0	22	-22
Masako	0	22	-22
Matsuura	0	22	-22
Mitsuo	0	22	-22
Miyamoto	0	22	-22
Naoya	0	22	-22
Nobuhiro	0	22	-22
Reiko	0	22	-22
Shibata	0	22	-22
Shigeo	0	22	-22
Shohei	0	22	-22
Yuta	0	22	-22
Yano	0	21	-21
Tetsuo	0	21	-21
Shota	1	22	-21
Toshiaki	0	21	-21
Akio	0	21	-21
Amano	0	21	-21
Azuma	0	21	-21
Furukawa	0	21	-21
Hirokazu	0	21	-21
Igarashi	0	21	-21
Kawaguchi	0	21	-21
Kawasaki	0	21	-21
Kuroda	0	21	-21
Nobuyuki	0	21	-21
Tomomi	0	21	-21
Ozaki	0	21	-21
Risa	0	21	-21
Sachiko	0	21	-21
Shunsuke	0	21	-21
Takeo	0	21	-21
Taku	0	21	-21
Jiro	1	22	-21
Wataru	0	20	-20
Roberto	3	23	-20
Yoshitaka	0	20	-20
(Japanese	0	20	-20
Daiki	0	20	-20
Hiro	0	20	-20
Isao	0	20	-20
Katsuya	0	20	-20
Koike	0	20	-20
Kota	0	20	-20
Mami	0	20	-20
Maruyama	0	20	-20
Matsushita	0	20	-20
Mizuki	0	20	-20
Mizuno	0	20	-20
Nagai	0	20	-20
Nishikawa	0	20	-20
Sakura	0	20	-20
Taniguchi	0	20	-20
Ueno	0	20	-20
Yoshino	0	20	-20
Yasushi	0	20	-20
Yoshikawa	0	20	-20
Maria	8	27	-19
Kazuyoshi	1	20	-19
Adachi	0	19	-19
Choi	1	20	-19
Souza	1	20	-19
Fukushima	0	19	-19
González	0	19	-19
Hamada	0	19	-19
Ishihara	0	19	-19
Katayama	0	19	-19
Kensuke	0	19	-19
Yoshiko	0	19	-19
Kitamura	0	19	-19
Moriyama	0	19	-19
Oda	0	19	-19
Taro	0	19	-19
