Word	Australian frequency	Japanese frequency	Difference
(fencer)	3	172	-169
Kim	10	114	-104
Hiroshi	97	191	-94
(baseball)	37	124	-87
(judoka)	3	84	-81
Akira	50	130	-80
de	2	82	-80
Lee	6	82	-76
Suzuki	91	162	-71
Kobayashi	73	138	-65
(musician)	0	63	-63
(singer)	0	63	-63
Takahashi	71	133	-62
Nakamura	63	124	-61
Silva	2	62	-60
José	0	59	-59
Takashi	96	154	-58
Yamamoto	46	103	-57
Tanaka	83	136	-53
Kenji	68	120	-52
Watanabe	58	109	-51
David	2	53	-51
Jun	37	87	-50
John	1	51	-50
Carlos	1	49	-48
Makoto	52	100	-48
Hiroyuki	56	102	-46
Peter	0	44	-44
Santos	3	47	-44
Michael	5	48	-43
Yuki	85	126	-41
Akiko	14	54	-40
da	1	41	-40
Matsumoto	26	65	-39
Keiko	14	53	-39
Ken	26	65	-39
Takeshi	61	99	-38
Robert	2	39	-37
Daniel	1	37	-36
Mike	6	42	-36
Kimura	33	68	-35
Yoshida	49	84	-35
Ito	58	92	-34
Mori	28	62	-34
Ai	13	47	-34
Paul	1	34	-33
Satō	8	41	-33
Yoko	16	48	-32
born	16	48	-32
Sato	90	121	-31
Sasaki	32	63	-31
Yamaguchi	31	62	-31
Mark	2	33	-31
James	2	32	-30
Yutaka	23	53	-30
(voice	0	29	-29
Satoshi	55	84	-29
Hitomi	8	37	-29
(politician)	0	29	-29
Kaori	20	49	-29
Yamada	42	71	-29
Miki	23	52	-29
Megumi	14	42	-28
Daisuke	75	103	-28
Atsushi	40	68	-28
Hayashi	21	49	-28
Inoue	41	69	-28
Tomoko	11	39	-28
Maria	0	27	-27
Park	1	28	-27
Scott	2	29	-27
Junko	11	38	-27
(actor)	1	28	-27
Hiromi	18	45	-27
(actress)	0	27	-27
dos	0	26	-26
van	1	27	-26
Ono	27	52	-25
Aya	11	36	-25
Ishii	26	51	-25
Mari	6	31	-25
Yōko	1	26	-25
Itō	6	31	-25
Izumi	11	36	-25
Kaoru	10	35	-25
Noriko	16	41	-25
Antonio	1	26	-25
Brian	0	25	-25
Luis	0	25	-25
Maki	15	40	-25
Abe	37	62	-25
Tatsuya	39	64	-25
(footballer)	100	124	-24
Maeda	26	50	-24
Tetsuya	32	56	-24
Shimizu	31	55	-24
Hiroko	16	40	-24
Aki	6	30	-24
Kazuo	27	51	-24
Mai	9	33	-24
Hiroki	47	70	-23
Fujita	27	50	-23
Atsuko	4	27	-23
Yamazaki	17	40	-23
George	6	29	-23
Ikeda	18	41	-23
Hideki	31	54	-23
Masashi	22	45	-23
Anna	2	25	-23
Miho	11	34	-23
Ueda	15	38	-23
Joe	0	23	-23
Tony	1	24	-23
Kōji	7	30	-23
Shigeru	22	44	-22
Roberto	1	23	-22
Ryo	33	55	-22
Smith	1	23	-22
Mayumi	12	34	-22
Chris	4	26	-22
Seiji	18	40	-22
Naoki	47	69	-22
Kei	16	38	-22
Yumi	8	30	-22
(artist)	0	22	-22
Richard	0	22	-22
Yuka	10	32	-22
Toshio	21	42	-21
Mohamed	0	21	-21
Masaki	32	53	-21
Yu	16	37	-21
Kenichi	32	53	-21
Koichi	34	55	-21
Osamu	17	38	-21
Dan	2	23	-21
Takagi	13	34	-21
Frank	1	22	-21
Shinji	34	55	-21
Hara	12	33	-21
Ishikawa	23	43	-20
Yamashita	18	38	-20
Tsuyoshi	34	54	-20
Nakano	18	38	-20
Nishimura	13	33	-20
actress)	0	20	-20
Wang	0	20	-20
Minami	9	29	-20
Chiaki	4	24	-20
Choi	0	20	-20
Jim	2	22	-20
Okamoto	23	43	-20
Masaaki	21	41	-20
Emi	11	31	-20
Ayumi	11	31	-20
Koji	62	81	-19
(Japanese	1	20	-19
Patrick	1	20	-19
Matt	2	21	-19
Masahiro	46	65	-19
Hikaru	7	26	-19
Thomas	1	20	-19
Williams	2	21	-19
Minoru	22	41	-19
Souza	1	20	-19
Yui	5	24	-19
Sakurai	14	33	-19
Sayaka	4	23	-19
González	0	19	-19
Pedro	0	19	-19
Nakajima	19	38	-19
Yuji	53	72	-19
Hajime	13	32	-19
Rodrigues	0	18	-18
Mitsuru	10	28	-18
Fujii	17	35	-18
Saito	54	72	-18
Takao	16	34	-18
Asami	7	25	-18
Alex	0	18	-18
Sakamoto	20	38	-18
Yū	0	18	-18
Takayuki	45	63	-18
Ogawa	15	33	-18
Yasuhiro	30	48	-18
Rie	9	27	-18
Michiko	10	28	-18
Kikuchi	17	35	-18
Aoki	28	46	-18
Alberto	0	18	-18
Yūko	0	18	-18
Kyoko	10	28	-18
Kato	51	69	-18
Yuko	21	39	-18
Hideo	21	39	-18
Ben	1	19	-18
Kuroda	4	21	-17
Alexandre	0	17	-17
Tamura	13	30	-17
Reiko	5	22	-17
Masami	13	30	-17
Haruka	7	24	-17
Alexander	2	19	-17
Ali	1	18	-17
artist)	1	18	-17
Masahiko	16	33	-17
Hiro	3	20	-17
Masatoshi	8	25	-17
Tom	2	19	-17
Mika	11	28	-17
Miura	20	37	-17
Fukuda	17	34	-17
Eri	8	25	-17
Kiyoshi	19	36	-17
Juan	0	17	-17
Sakura	3	20	-17
Miyuki	13	30	-17
Yūki	5	22	-17
Hasegawa	21	37	-16
Van	0	16	-16
Chiba	14	30	-16
Takako	9	25	-16
Ishida	15	31	-16
Rafael	0	16	-16
Keiichi	9	25	-16
Jr.	0	16	-16
Akiyama	8	24	-16
Jorge	0	16	-16
Imai	9	25	-16
García	0	16	-16
Fujiwara	9	25	-16
Shin	9	25	-16
Naomi	5	21	-16
Kojima	16	32	-16
Kumiko	8	24	-16
Risa	5	21	-16
Hashimoto	26	42	-16
Saori	10	26	-16
Saitō	2	18	-16
Eric	2	18	-16
Harada	20	35	-15
(rugby	3	18	-15
Mami	5	20	-15
Takeuchi	13	28	-15
Mizuki	5	20	-15
Mariko	9	24	-15
Uchida	22	37	-15
(basketball)	0	15	-15
Anthony	0	15	-15
Masato	37	52	-15
Cho	0	15	-15
Arai	18	33	-15
Hoshino	17	32	-15
Nakagawa	8	23	-15
Jack	0	15	-15
Okada	22	37	-15
Masayuki	22	37	-15
Jin	3	18	-15
Masayoshi	8	23	-15
Marcelo	0	15	-15
Wada	14	29	-15
Toshiyuki	14	29	-15
Princess	0	15	-15
Oliveira	1	16	-15
Miyazaki	11	26	-15
Kazuki	27	42	-15
singer)	0	15	-15
Junichi	14	29	-15
Ricardo	0	15	-15
Morita	14	29	-15
Tim	0	15	-15
William	0	15	-15
Fernández	1	15	-14
Yoshino	6	20	-14
Ahmed	0	14	-14
Kazuko	3	17	-14
Michel	1	15	-14
Aoi	0	14	-14
Hirano	8	22	-14
Bruno	0	14	-14
María	0	14	-14
Susumu	15	29	-14
Mizuno	6	20	-14
Yumiko	10	24	-14
Nakanishi	11	25	-14
Masuda	13	27	-14
Yukari	10	24	-14
Yoshio	21	35	-14
Ayaka	4	18	-14
Paulo	0	14	-14
Eiji	15	29	-14
Rina	2	16	-14
Yoshihiro	25	39	-14
Jason	2	16	-14
Hideaki	18	32	-14
Ayako	10	24	-14
Shinobu	9	23	-14
Toru	26	40	-14
Yūji	4	18	-14
Sakai	30	44	-14
Matsui	17	31	-14
Tetsuo	7	21	-14
Natsuki	2	16	-14
Yoshiaki	14	28	-14
Yasuda	9	23	-14
Saki	3	16	-13
João	0	13	-13
Ryan	4	17	-13
Sayuri	3	16	-13
Tadashi	23	36	-13
Ivan	0	13	-13
Nick	0	13	-13
Igor	0	13	-13
Yuriko	4	17	-13
Fábio	0	13	-13
Nao	1	14	-13
Francisco	0	13	-13
Nakayama	18	31	-13
Satomi	5	18	-13
Amano	8	21	-13
Tsutomu	22	35	-13
Bill	0	13	-13
Adam	0	13	-13
J.	2	15	-13
Martin	0	13	-13
(martial	0	13	-13
Yoshikazu	10	23	-13
Yoshiki	5	18	-13
Furukawa	8	21	-13
Murata	15	28	-13
Koike	7	20	-13
Eduardo	1	14	-13
Kitamura	6	19	-13
Taku	8	21	-13
Naoko	13	26	-13
Murakami	19	32	-13
Takahiro	45	58	-13
Shimada	12	25	-13
Tachibana	3	16	-13
union)	3	16	-13
Kaneko	19	32	-13
Kawasaki	8	21	-13
Hisashi	12	25	-13
Rika	6	18	-12
Igarashi	9	21	-12
Wataru	8	20	-12
Dave	2	14	-12
Leandro	0	12	-12
(footballer	12	24	-12
Nana	3	15	-12
Akio	9	21	-12
Shiraishi	0	12	-12
Go	13	25	-12
Gary	0	12	-12
Yuya	20	32	-12
Tōru	2	14	-12
Gabriel	0	12	-12
Vladimir	0	12	-12
Yukiko	10	22	-12
Jeff	2	14	-12
Yang	0	12	-12
Chihiro	2	14	-12
Jones	2	14	-12
Asuka	3	15	-12
Luiz	1	13	-12
Fernando	0	12	-12
Rei	3	15	-12
Shinohara	2	14	-12
Asano	4	16	-12
Yoshiko	7	19	-12
Bernard	0	12	-12
Kevin	2	14	-12
Antônio	0	12	-12
Anderson	0	12	-12
Hirofumi	7	19	-12
Masako	10	22	-12
Marcos	1	13	-12
Kazuhiko	11	23	-12
Marco	1	13	-12
Yuri	3	15	-12
Ando	14	26	-12
Kōichi	1	13	-12
Steve	3	15	-12
Joseph	1	13	-12
Miwa	4	16	-12
Kondo	16	28	-12
Johnson	1	13	-12
Moriyama	7	19	-12
Kawai	15	27	-12
Oda	7	19	-12
Azuma	10	21	-11
Mamoru	7	18	-11
Bobby	1	12	-11
Han	0	11	-11
Ferreira	0	11	-11
Héctor	0	11	-11
Díaz	0	11	-11
Yoshitaka	9	20	-11
Matsuura	11	22	-11
Ogata	7	18	-11
Akihiro	25	36	-11
César	0	11	-11
Stephen	1	12	-11
Goto	16	27	-11
Ryoko	4	15	-11
