Word	Frequency
Akira	12
Hiroshi	12
Masao	9
Takashi	8
Tanaka	6
Yamaguchi	6
of	6
Abe	5
David	5
Hayashi	5
Inoue	5
Makoto	5
Nakamura	5
Suzuki	5
Tadao	5
Takeshi	5
(poet)	4
Fumihiko	4
Hajime	4
Hisashi	4
Itō	4
James	4
John	4
Jun	4
Kazuo	4
Kiyoshi	4
List	4
Miyoshi	4
Noboru	4
Nobuo	4
Robert	4
Satoshi	4
Susumu	4
Takahashi	4
Yamada	4
Yasuo	4
no	4
people	4
(historian)	3
Ando	3
Doi	3
Eiichi	3
Fujita	3
Fujiwara	3
Henry	3
Hideki	3
Hiromichi	3
Ito	3
Kato	3
Kawai	3
Keiji	3
Kikuchi	3
Kuroda	3
Masaaki	3
Masayoshi	3
Matsumoto	3
Mori	3
Motoori	3
Nakai	3
Nishida	3
Takeuchi	3
Tanabe	3
Thomas	3
Toshio	3
Ueno	3
University	3
Yoshiaki	3
(academic)	2
(chemist)	2
Aida	2
Anthony	2
Asakawa	2
Atsushi	2
Azuma	2
Bernhard	2
Charles	2
Christian	2
E.	2
Edward	2
Fukuda	2
Fukui	2
Furuichi	2
Hamada	2
Hans	2
Haruhiko	2
Hashimoto	2
Hidetsugu	2
Hirano	2
Hirofumi	2
Ichiro	2
Ikeda	2
Ikegami	2
Ikuo	2
Inoguchi	2
Ishida	2
Itakura	2
J.	2
Jiro	2
Joji	2
Joseph	2
Junichi	2
Kaneko	2
Kasahara	2
Katsuhito	2
Kawaguchi	2
Kawakami	2
Kazama	2
Keiko	2
Ken	2
Kenji	2
Kimura	2
Kindaichi	2
Kinoshita	2
Kitamura	2
Kitaoka	2
Kobayashi	2
Kondo	2
Kotaro	2
Kunihiko	2
Kuniko	2
Kyoto	2
Kōsaku	2
Leo	2
Masaharu	2
Masahiro	2
Masatoshi	2
Masuda	2
Michio	2
Midori	2
Mikasa	2
Minamoto	2
Mitsuhiro	2
Miura	2
Morimoto	2
Morio	2
Murata	2
Nagata	2
Nakayama	2
Naoki	2
Naoyuki	2
Negishi	2
Nobuhiro	2
Oda	2
Okazaki	2
P.	2
Paul	2
Peter	2
Saburo	2
Sasaki	2
Sato	2
Satō	2
Seiichi	2
Shigeo	2
Shigeru	2
Shinichi	2
Shinji	2
Shirakawa	2
Shirō	2
Shizuo	2
Shunpei	2
Shunsuke	2
T.	2
Tadashi	2
Taguchi	2
Takahiko	2
Takenaka	2
Tamaki	2
Tatsuo	2
Tetsuro	2
Toda	2
Tomio	2
Tsurumi	2
Ueda	2
Watanabe	2
William	2
Yasuhiro	2
Yasushi	2
Yoichiro	2
Yoji	2
Yoshihiko	2
Yoshimi	2
Yoshio	2
Yuasa	2
Yukawa	2
Yukio	2
Yōichi	2
van	2
(architect)	1
(astronomer)	1
(banker)	1
(biochemist)	1
(critic)	1
(educator)	1
(engineer)	1
(judge)	1
(mathematician)	1
(performer)	1
(physicist)	1
(politician)	1
(professor)	1
(scholar)	1
(sociolinguist)	1
A.	1
Aaviksoo	1
Abegglen	1
Abraham	1
Abu	1
Abul	1
Adolfo	1
Adrian	1
Agawa	1
Agt	1
Aichi	1
Ajip	1
Akasaki	1
Akaza	1
Akiko	1
Akimoto	1
Akinari	1
Akinori	1
Akio	1
Akito	1
Akiya	1
Akiyoshi	1
Albert	1
Alfred	1
Amane	1
Amari	1
Amemiya	1
Amino	1
Anesaki	1
Anton	1
Aoki	1
Appert	1
Arai	1
Arakatsu	1
Arakawa	1
Araki	1
Arata	1
Arifin	1
Arihiro	1
Arima	1
Arisaka	1
Ariya	1
Asano	1
Atsutane	1
Azumamaro	1
Baien	1
Baigan	1
Ban	1
Barker	1
Basil	1
Bey	1
Bienvenido	1
Bovingdon	1
Bramwell	1
Brinkley	1
Broek	1
Bronfenbrenner	1
Bunsaku	1
Bunyu	1
Cargill	1
Carl	1
Cassim	1
Chalupa	1
Chamberlain	1
Cheok	1
Cheon	1
Chie	1
Chieko	1
Chikafusa	1
Chikushi	1
Chikuzan	1
Cho	1
Choichirō	1
Chozaburo	1
Chushiro	1
Chūta	1
Clarke	1
Cousins	1
Curt	1
D.	1
Dairoku	1
Dan	1
Dandō	1
Date	1
Daugman	1
Day	1
Denis	1
Dittrich	1
Dixon	1
Dodo	1
Dries	1
Dyer	1
Ebashi	1
Ei-ichi	1
Eiichirō	1
Eijkman	1
Eiko	1
Eizaburo	1
Eizō	1
Emiko	1
Endo	1
Enryō	1
Ernest	1
Esaki	1
Esashi	1
Esposito	1
Etō	1
Ewing	1
Fenollosa	1
Florentine	1
Ford	1
Francis	1
Frederick	1
Frederik	1
Fujimori	1
Fujio	1
Fujioka	1
Fujishima	1
Fujisue	1
Fujitani	1
Fukuda-Parr	1
Fukuyama	1
Fukuzawa	1
Fumio	1
Fumitada	1
Furuhashi	1
Fusakichi	1
Futaro	1
Fuyuko	1
Fuyū	1
Gaku	1
Gakuin	1
Gaston	1
Gauntlett	1
Gavan	1
Genichi	1
Genju	1
George	1
Georges	1
Georgeson	1
Gierke	1
Gilston	1
Gojobori	1
Gonda	1
Goro	1
Goto	1
Grace	1
Gray	1
Gōtarō	1
Haba	1
Hagihara	1
Hagiwara	1
Haji	1
Hakaru	1
Hall	1
Hanawa	1
Hanawalt	1
Hantaro	1
Harashima	1
Haruko	1
Haruniwa	1
Hasegawa	1
Hashida	1
Hasumi	1
Hata	1
