Word	Frequency
Hiroshi	191
(fencer)	172
Suzuki	162
Takashi	154
Kobayashi	138
Tanaka	136
Takahashi	133
Akira	130
Yuki	126
(baseball)	124
(footballer)	124
Nakamura	124
Sato	121
Kenji	120
Kim	114
Watanabe	109
Daisuke	103
Yamamoto	103
Hiroyuki	102
Makoto	100
Takeshi	99
Ito	92
Jun	87
(judoka)	84
Satoshi	84
Yoshida	84
Lee	82
de	82
Koji	81
Saito	72
Yuji	72
Yamada	71
Hiroki	70
Inoue	69
Kato	69
Naoki	69
Atsushi	68
Kimura	68
Ken	65
Masahiro	65
Matsumoto	65
Tatsuya	64
(musician)	63
(singer)	63
Sasaki	63
Takayuki	63
Takuya	63
Abe	62
Mori	62
Silva	62
Yamaguchi	62
José	59
Takahiro	58
Tetsuya	56
Koichi	55
Ryo	55
Shimizu	55
Shinji	55
Yusuke	55
Akiko	54
Hideki	54
Tsuyoshi	54
David	53
Keiko	53
Kenichi	53
Masaki	53
Yutaka	53
Masato	52
Miki	52
Ono	52
Ishii	51
John	51
Kazuo	51
Fujita	50
Maeda	50
Carlos	49
Hayashi	49
Kaori	49
Michael	48
Yasuhiro	48
Yoko	48
born	48
Ai	47
Santos	47
Aoki	46
Kohei	46
Hiromi	45
Masashi	45
Peter	44
Sakai	44
Shigeru	44
Ishikawa	43
Keisuke	43
Okamoto	43
Shinya	43
Hashimoto	42
Kazuki	42
Megumi	42
Mike	42
Toshio	42
Ikeda	41
Masaaki	41
Minoru	41
Noriko	41
Satō	41
da	41
Hiroko	40
Maki	40
Seiji	40
Toru	40
Yamazaki	40
Hideo	39
Robert	39
Tomoko	39
Yoshihiro	39
Yuko	39
Junko	38
Kei	38
Nakajima	38
Nakano	38
Osamu	38
Sakamoto	38
Ueda	38
Yamashita	38
Daniel	37
Hasegawa	37
Hitomi	37
Kenta	37
Masayuki	37
Miura	37
Okada	37
Uchida	37
Yu	37
Akihiro	36
Aya	36
Izumi	36
Kiyoshi	36
Shingo	36
Tadashi	36
Fujii	35
Harada	35
Kaoru	35
Kazuhiro	35
Kikuchi	35
Tsutomu	35
Yoshio	35
(wrestler)	34
Fukuda	34
Kazuya	34
Mayumi	34
Miho	34
Paul	34
Takagi	34
Takao	34
Arai	33
Hara	33
Mai	33
Mark	33
Masahiko	33
Nishimura	33
Ogawa	33
Sakurai	33
Takumi	33
Hajime	32
Hideaki	32
Hoshino	32
James	32
Kaneko	32
Kojima	32
Murakami	32
Satoru	32
Yuka	32
Yuya	32
Ayumi	31
Emi	31
Ishida	31
Itō	31
Kentaro	31
Mari	31
Matsui	31
Nakayama	31
Yōsuke	31
Aki	30
Chiba	30
Hiroaki	30
Honda	30
Kōji	30
Masami	30
Miyuki	30
Ryuji	30
Takeda	30
Tamura	30
Yukio	30
Yumi	30
(politician)	29
(voice	29
Eiji	29
George	29
Hitoshi	29
Junichi	29
Masao	29
Matsuda	29
Minami	29
Morita	29
Scott	29
Shinichi	29
Susumu	29
Toshiyuki	29
Wada	29
(actor)	28
Kondo	28
Kyoko	28
Michiko	28
Mika	28
Mitsuru	28
Murata	28
Park	28
Ryota	28
Takeuchi	28
Yokoyama	28
Yoshiaki	28
(actress)	27
Atsuko	27
Goto	27
Kawai	27
Maria	27
Masaru	27
Masuda	27
Rie	27
Takada	27
Yoshinori	27
van	27
Ando	26
Antonio	26
Chris	26
Hikaru	26
Keiji	26
Kosuke	26
Miyazaki	26
Naoko	26
Ota	26
Saori	26
Yoshiyuki	26
Yōko	26
dos	26
Anna	25
Asami	25
Brian	25
Eri	25
Fujiwara	25
Go	25
Hisashi	25
Imai	25
Keiichi	25
Luis	25
Manabu	25
Masatoshi	25
Nakanishi	25
Shimada	25
Shin	25
Takako	25
Yuichi	25
(footballer	24
Akiyama	24
Ayako	24
Chiaki	24
Haruka	24
Kumiko	24
Mariko	24
Masaya	24
Ryosuke	24
Sho	24
Sugiyama	24
Tony	24
Yui	24
Yukari	24
Yumiko	24
(born	23
Dan	23
Doi	23
Hideyuki	23
Joe	23
Kawamura	23
Kazuhiko	23
Masanori	23
Masayoshi	23
Nakagawa	23
Nomura	23
Norio	23
Oshima	23
Roberto	23
Sayaka	23
Shinobu	23
Smith	23
Tomohiro	23
Yasuda	23
Yoshikazu	23
(artist)	22
Endo	22
Frank	22
Fujimoto	22
Hirano	22
Jim	22
Jiro	22
Kazumi	22
Masako	22
Matsuura	22
Mitsuo	22
Miyamoto	22
Naoya	22
Nobuhiro	22
Reiko	22
Richard	22
Shibata	22
Shigeo	22
Shohei	22
Shoji	22
Shota	22
Yukiko	22
Yuta	22
Yūki	22
Akio	21
Amano	21
Azuma	21
Furukawa	21
Hirokazu	21
Igarashi	21
Kawaguchi	21
Kawasaki	21
Kuroda	21
Matt	21
Mohamed	21
Naomi	21
Nobuyuki	21
Ozaki	21
Risa	21
Sachiko	21
Shunsuke	21
Takeo	21
Taku	21
Tetsuo	21
Tomomi	21
Toshiaki	21
Williams	21
Yano	21
(Japanese	20
Choi	20
Daiki	20
Hiro	20
Isao	20
Katsuya	20
Kazuyoshi	20
Koike	20
Kota	20
Mami	20
Maruyama	20
Matsushita	20
Mizuki	20
Mizuno	20
Nagai	20
Nishikawa	20
Patrick	20
Sakura	20
Souza	20
Taniguchi	20
Thomas	20
Ueno	20
Wang	20
Wataru	20
Yasushi	20
Yoshikawa	20
Yoshino	20
Yoshitaka	20
actress)	20
Adachi	19
Alexander	19
Ben	19
Fukushima	19
González	19
Hamada	19
Hirofumi	19
Ishihara	19
Katayama	19
Kensuke	19
Kitamura	19
Moriyama	19
Oda	19
Pedro	19
Taro	19
Tom	19
Yohei	19
Yoshiko	19
(fighter)	18
(rugby	18
Akihiko	18
Alberto	18
Alex	18
Ali	18
Aoyama	18
Ayaka	18
Eric	18
Erika	18
Haruna	18
Hayato	18
Higuchi	18
Iwasaki	18
Jin	18
Katsuhiko	18
Kawashima	18
Kazuyuki	18
Kudo	18
Mamoru	18
Mochizuki	18
Naoto	18
Nobuo	18
Ogata	18
Rika	18
Rodrigues	18
Saitō	18
Satomi	18
Seiichi	18
Seki	18
Sugimoto	18
Yasuo	18
Yoshiki	18
Yū	18
Yūji	18
Yūko	18
artist)	18
Alexandre	17
Fukui	17
Hattori	17
Hirose	17
Ichikawa	17
Juan	17
Kana	17
Kanako	17
Katsuyuki	17
Kazuko	17
Kinoshita	17
Koga	17
Koizumi	17
Kubota	17
Masakazu	17
Noda	17
Ozawa	17
